name,recipient_primary_business_street_address_line1,recipient_city,recipient_state,recipient_zip_code,payment,address,name_geo,phone_geo,formatted_address_geo,latitude_geo,longitude_geo,accuracy_geo,google_place_id_geo,type_geo,postcode_geo,input_string_geo,number_of_results_geo,status_geo
SAINT MARYS HEALTH CARE,200 Jefferson Ave SE,Grand Rapids,MI,49503,13677.75,200 Jefferson Ave SE Grand Rapids MI 49503,None,None,"200 Jefferson Ave SE, Grand Rapids, MI 49503, USA",42.9581324,-85.6623188,ROOFTOP,ChIJ0X0l9r-tGYgRtQRy6ZEPxWo,street_address,49503,200 Jefferson Ave SE Grand Rapids MI 49503,1,OK
CHILDRENS HOSPITAL OF SAN ANTONIO,519 WEST HOUSTON STREET,SAN ANOTONIO,TX,78207,151.16,519 WEST HOUSTON STREET SAN ANOTONIO TX 78207,None,None,"519 W Houston St, San Antonio, TX 78207, USA",29.4264352,-98.498306,ROOFTOP,ChIJWV_V4ExfXIYRDDndwrOlWHQ,street_address,78207,519 WEST HOUSTON STREET SAN ANOTONIO TX 78207,1,OK
HOSPITAL OF THE UNIV OF PENNA,3400 SPRUCE STREET,PHILADELPHIA,PA,19104,25849051.71,3400 SPRUCE STREET PHILADELPHIA PA 19104,None,None,"3400 Spruce St, Philadelphia, PA 19103, USA",39.950044,-75.193131,ROOFTOP,ChIJe53lVUbGxokRHo8SD2_qeRs,street_address,19103,3400 SPRUCE STREET PHILADELPHIA PA 19104,1,OK
CHRISTUS ST MICHAEL,1400 College Dr,Texarkana,TX,75503,1580.02,1400 College Dr Texarkana TX 75503,None,None,"1400 College Dr, Texarkana, TX 75503, USA",33.4493507,-94.0608823,ROOFTOP,ChIJvaQhlA9qNIYRzkJvp7lAzF0,premise,75503,1400 College Dr Texarkana TX 75503,1,OK
SUTTER DAVIS HOSPITAL,2000 SUTTER PLACE,DAVIS,CA,95617,3306.38,2000 SUTTER PLACE DAVIS CA 95617,None,None,"2000 Sutter Pl, Davis, CA 95616, USA",38.5629168,-121.7713007,ROOFTOP,ChIJa101tDYohYAR-SEJhcM60QU,"establishment,point_of_interest",95616,2000 SUTTER PLACE DAVIS CA 95617,1,OK
EDWARD W. SPARROW HOSPITAL,1215 E Michigan Ave,ORLANDO,FL,32803,100970.06,1215 E Michigan Ave ORLANDO FL 32803,None,None,"1215 E Michigan St, Orlando, FL 32806, USA",28.5133477,-81.3631102,RANGE_INTERPOLATED,EioxMjE1IEUgTWljaGlnYW4gU3QsIE9ybGFuZG8sIEZMIDMyODA2LCBVU0EiGxIZChQKEgkt2-aUanvniBEXsD_sGF7osRC_CQ,street_address,32806,1215 E Michigan Ave ORLANDO FL 32803,1,OK
OVERLOOK MEDICAL CENTER,99 Beauvoir Ave,Summit,NJ,7901,38611.14,99 Beauvoir Ave Summit NJ 7901,None,None,"99 Beauvoir Ave, Summit, NJ 07901, USA",40.7121248,-74.3536189,ROOFTOP,ChIJPysrCEyuw4kRgrUOCCM38oQ,street_address,07901,99 Beauvoir Ave Summit NJ 7901,1,OK
HOSPITAL DR. ALEJANDRO OTERO,CARRETERA ESTATAL 668,MANATI,PR,701,2000,CARRETERA ESTATAL 668 MANATI PR 701,None,None,"Manatí, Puerto Rico",18.433005,-66.4758583,APPROXIMATE,ChIJPXjHRuMYA4wRXKQD728Xwtk,"administrative_area_level_1,political",,CARRETERA ESTATAL 668 MANATI PR 701,1,OK
CAROLINAS MEDICAL CENTER,501 Billingsley Rd,Charlotte,NC,28211,481292.81,501 Billingsley Rd Charlotte NC 28211,None,None,"501 Billingsley Rd, Charlotte, NC 28211, USA",35.19211,-80.80412419999999,ROOFTOP,ChIJFZqgenMgVIgR8GUc_T5GRYM,premise,28211,501 Billingsley Rd Charlotte NC 28211,1,OK
YAKIMA REGIONAL MEDICAL & CARDIAC CE,110 SOUTH NINTH AVENUE,YAKIMA,WA,98902,2295.03,110 SOUTH NINTH AVENUE YAKIMA WA 98902,None,None,"110 S 9th Ave, Yakima, WA 98902, USA",46.596584,-120.5211861,ROOFTOP,ChIJB01XoubXmVQR8AOrRF8_F-k,premise,98902,110 SOUTH NINTH AVENUE YAKIMA WA 98902,1,OK
PENINSULA HOSPITAL CENTER,5115 BEACH CHANNEL DRIVE,FAR ROCKAWAY,NY,11691,100,5115 BEACH CHANNEL DRIVE FAR ROCKAWAY NY 11691,None,None,"51-15 Beach Channel Dr, Far Rockaway, NY 11691, USA",40.5944848,-73.78143159999999,ROOFTOP,ChIJv1aV0JFowokRBRWPX60zupo,premise,11691,5115 BEACH CHANNEL DRIVE FAR ROCKAWAY NY 11691,1,OK
FORREST GENERAL HOSPITAL,6051 U S HIGHWAY 49,HATTIESBURG,MS,39404,22574.94,6051 U S HIGHWAY 49 HATTIESBURG MS 39404,None,None,"6051 US 49, Hattiesburg, MS 39401, USA",31.3185784,-89.32952639999999,ROOFTOP,ChIJb-rILpvenIgROQX-gSP9yKE,street_address,39401,6051 U S HIGHWAY 49 HATTIESBURG MS 39404,1,OK
NORTH MISSISSIPPI MEDICAL CENTER,830 S Gloster St,Tupelo,MS,38801,47353.13,830 S Gloster St Tupelo MS 38801,None,None,"830 S Gloster St, Tupelo, MS 38801, USA",34.242066,-88.7160122,ROOFTOP,ChIJGauKcQRMh4gRdqYISEWHXRU,premise,38801,830 S Gloster St Tupelo MS 38801,1,OK
ST. MARYS MEDICAL CENTER,3700 WASHINGTON AVE,EVANSVILLE,IN,47750,10149.88,3700 WASHINGTON AVE EVANSVILLE IN 47750,None,None,"3700 Washington Ave, Evansville, IN 47714, USA",37.9628438,-87.49584829999999,ROOFTOP,ChIJeTmBGyYrbogRlb_vG5A3W1E,street_address,47714,3700 WASHINGTON AVE EVANSVILLE IN 47750,1,OK
MAGNOLIA HOSPITAL,611 Alcorn Dr,Corinth,MS,38834,11338.45,611 Alcorn Dr Corinth MS 38834,None,None,"611 Alcorn Dr, Corinth, MS 38834, USA",34.9355756,-88.56013170000001,ROOFTOP,ChIJ15lisv3DfYgRHqJLLdGYdfU,street_address,38834,611 Alcorn Dr Corinth MS 38834,1,OK
BEAUMONT HOSPITAL - DEARBORN,18101 Oakwood Blvd,Dearborn,MI,48124,31333.56,18101 Oakwood Blvd Dearborn MI 48124,None,None,"18101 Oakwood Blvd, Dearborn, MI 48124, USA",42.2901468,-83.2140457,ROOFTOP,ChIJW4FQlck1O4gRehSqj7AaP1Q,street_address,48124,18101 Oakwood Blvd Dearborn MI 48124,1,OK
MARYLAND GENERAL HOSPITAL,827 LINDEN AVE,BALTIMORE,MD,21201,7700,827 LINDEN AVE BALTIMORE MD 21201,None,None,"827 Linden Ave, Baltimore, MD 21201, USA",39.2986161,-76.6207831,ROOFTOP,ChIJf8vAJr0EyIkRHF-xEZzTgrQ,premise,21201,827 LINDEN AVE BALTIMORE MD 21201,1,OK
ST ANTHONY HOSPITAL,11600 W. 2ND PLACE,LAKEWOOD,CO,80228,3102.07,11600 W. 2ND PLACE LAKEWOOD CO 80228,None,None,"11600 W 2nd Pl, Lakewood, CO 80228, USA",39.7163135,-105.1293633,ROOFTOP,ChIJaw7O9_iDa4cRBwzVmmr9Y9o,street_address,80228,11600 W. 2ND PLACE LAKEWOOD CO 80228,1,OK
American Oncologic Hospial,333 Cottman Ave,Philadelphia,PA,19111,381721.96,333 Cottman Ave Philadelphia PA 19111,None,None,"333 Cottman Ave, Cheltenham, PA 19012, USA",40.0662421,-75.0919487,ROOFTOP,ChIJWwcCPMy2xokRJxY0Cu8AlL8,street_address,19012,333 Cottman Ave Philadelphia PA 19111,2,OK
Portneuf Medical Center,651 Memorial Dirve,Pocatello,ID,83201,6037.66,651 Memorial Dirve Pocatello ID 83201,None,None,"651 Memorial Dr, Pocatello, ID 83201, USA",42.8670938,-112.4315649,ROOFTOP,ChIJvba3CSVPVVMRHuZikTv86Ro,premise,83201,651 Memorial Dirve Pocatello ID 83201,1,OK
ATHENS REGIONAL MEDICAL CENTER,1199 Prince Ave,Athens,GA,30606,11419.55,1199 Prince Ave Athens GA 30606,None,None,"Prince Tower, 1199 Prince Ave, Athens, GA 30606, USA",33.9613926,-83.39796729999999,ROOFTOP,ChIJ-Qd06Dht9ogRQkWvGDKOaB0,premise,30606,1199 Prince Ave Athens GA 30606,1,OK
CHRIST HOSPITAL,176 Palisade Ave,Jersey City,NJ,7306,41893.06,176 Palisade Ave Jersey City NJ 7306,None,None,None,None,None,None,None,None,None,176 Palisade Ave Jersey City NJ 7306,0,REQUEST_DENIED
COVENANT HEALTH SYSTEM,3615 19TH ST,LUBBOCK,TX,79410,29621.46,3615 19TH ST LUBBOCK TX 79410,None,None,None,None,None,None,None,None,None,3615 19TH ST LUBBOCK TX 79410,0,REQUEST_DENIED
ST. FRANCIS HOSPITAL & HEALTH CENTER,1600 ALBANY STREET,BEECH GROVE,IN,46107,2875,1600 ALBANY STREET BEECH GROVE IN 46107,None,None,"1600 Albany St, Beech Grove, IN 46107, USA",39.7244273,-86.1001689,ROOFTOP,ChIJ6b-gjs5aa4gR6-wApmoaxcU,street_address,46107,1600 ALBANY STREET BEECH GROVE IN 46107,1,OK
MT. SINAI MEDICAL CENTER,4300 Alton Rd,Miami Beach,FL,33140,81122.71,4300 Alton Rd Miami Beach FL 33140,None,None,"4300 Alton Rd, Miami Beach, FL 33140, USA",25.8131425,-80.1414482,ROOFTOP,ChIJHf7fk3ez2YgR3FPHD-5tD0o,street_address,33140,4300 Alton Rd Miami Beach FL 33140,1,OK
MAGEE WOMENS HOSPITAL OF UPMC,300 HALKET ST,PITTSBURGH,PA,15213,18954.68,300 HALKET ST PITTSBURGH PA 15213,None,None,"300 Halket St, Pittsburgh, PA 15213, USA",40.4368286,-79.96068799999999,ROOFTOP,ChIJnd2Gl4HxNIgRan6e_fR0Hfk,street_address,15213,300 HALKET ST PITTSBURGH PA 15213,1,OK
MERCY HEALTH SYSTEM CORPORATION,1000 MINERAL POINT AVE,JANESVILLE,WI,53547,35497.55,1000 MINERAL POINT AVE JANESVILLE WI 53547,None,None,"1000 Mineral Point Ave, Janesville, WI 53548, USA",42.6878014,-89.0334048,ROOFTOP,ChIJN_sU7OsZBogRn3-ZPNW8pXg,premise,53548,1000 MINERAL POINT AVE JANESVILLE WI 53547,1,OK
BRONX-LEBANON HOSPITAL CENTER,1650 Grand Concourse,BRONX,NY,10456,99569.16,1650 Grand Concourse BRONX NY 10456,None,None,"1650 Grand Concourse, The Bronx, NY 10457, USA",40.8434675,-73.9110798,ROOFTOP,ChIJx1hLHkD0wokRuYZAJkydqVQ,premise,10457,1650 Grand Concourse BRONX NY 10456,1,OK
SWEDISH ISSAQUAH,751 NE BLAKELY DRIVE,ISSAQUAH,WA,98029,13059.5,751 NE BLAKELY DRIVE ISSAQUAH WA 98029,None,None,"751 NE Blakely Dr, Issaquah, WA 98029, USA",47.536237,-122.0220539,ROOFTOP,ChIJJ0fHnmJlkFQR8jHcOYDQVWs,premise,98029,751 NE BLAKELY DRIVE ISSAQUAH WA 98029,1,OK
ALFRED I DUPONT HOSP FOR CHILDREN,1600 Rockland Rd,Wilmington,DE,19803,97865.84,1600 Rockland Rd Wilmington DE 19803,None,None,None,None,None,None,None,None,None,1600 Rockland Rd Wilmington DE 19803,0,REQUEST_DENIED
COVENANT MEDICAL CENTER,3421 W 9th St,Waterloo,IA,50702,2127.22,3421 W 9th St Waterloo IA 50702,None,None,"3421 W 9th St, Waterloo, IA 50702, USA",42.4610813,-92.34616,ROOFTOP,ChIJ8YCXk8tT5YcRy1Z3_Ltqz14,street_address,50702,3421 W 9th St Waterloo IA 50702,1,OK
MERCY GENERAL HOSPITAL,4001 J STREET,SACRAMENTO,CA,95819,110476.04,4001 J STREET SACRAMENTO CA 95819,None,None,"4001 J St, Sacramento, CA 95819, USA",38.56983700000001,-121.452588,ROOFTOP,ChIJr4yAaZvQmoARwmftIXfPrQA,street_address,95819,4001 J STREET SACRAMENTO CA 95819,1,OK
UNIVERSITY HOSPITAL AT SYRACUSE,750 E. ADAMS STREET,SYRACUSE,NY,13210,184372.85,750 E. ADAMS STREET SYRACUSE NY 13210,None,None,"750 E Adams St, Syracuse, NY 13210, USA",43.0422979,-76.1395979,ROOFTOP,ChIJW7-aRKLz2YkRLRRxwZuOe84,street_address,13210,750 E. ADAMS STREET SYRACUSE NY 13210,1,OK
KFH - SAN LEANDRO,2500 Merced St,San Leandro,CA,94577,26394.21,2500 Merced St San Leandro CA 94577,None,None,"2500 Merced St, San Leandro, CA 94577, USA",37.7064867,-122.1647052,ROOFTOP,ChIJO16pn_qPj4ARoxN1Bst2NlY,premise,94577,2500 Merced St San Leandro CA 94577,1,OK
BAPTIST MEM HOSPITAL DESOTO,7601 Southcrest Pkwy,Southaven,MS,38671,750,7601 Southcrest Pkwy Southaven MS 38671,None,None,"7601 Southcrest Pkwy, Southaven, MS 38671, USA",34.9697503,-89.99696229999999,ROOFTOP,ChIJv43G4eCJf4gREf1RQj3j19M,street_address,38671,7601 Southcrest Pkwy Southaven MS 38671,1,OK
ALTOONA REGIONAL HEALTH SYSTEM,620 Howard Ave.,ALTOONA,PA,16601,1828.39,620 Howard Ave. ALTOONA PA 16601,None,None,"620 Howard Ave, Altoona, PA 16601, USA",40.52212129999999,-78.3983801,ROOFTOP,ChIJs3uBVu6Ry4kRRsDeV2bmuU8,street_address,16601,620 Howard Ave. ALTOONA PA 16601,1,OK
ENGLEWOOD HOSPITAL & MED CTR,350 Engle St,Englewood,NJ,7631,282562.43,350 Engle St Englewood NJ 7631,None,None,"350 Engle St, Englewood, NJ 07631, USA",40.9041892,-73.9686632,ROOFTOP,ChIJ33v7Ag_xwokRGOCdYTullTY,street_address,07631,350 Engle St Englewood NJ 7631,1,OK
COMMUNITY FIRST MEDICAL CENTER,5645 WEST ADDISON STREET,CHICAGO,IL,60634,19491.35,5645 WEST ADDISON STREET CHICAGO IL 60634,None,None,"5645 W Addison St, Chicago, IL 60634, USA",41.9455304,-87.7676772,ROOFTOP,ChIJraPSI6XND4gRuUmA0tXu1LM,street_address,60634,5645 WEST ADDISON STREET CHICAGO IL 60634,1,OK
SACRED HEART HOSPITAL,900 W Clairemont Ave,Eau Claire,WI,54701,504.33,900 W Clairemont Ave Eau Claire WI 54701,None,None,"900 W Clairemont Ave, Eau Claire, WI 54701, USA",44.794519,-91.5107268,ROOFTOP,ChIJgzjltZq9-IcRMNZkTrGpACE,premise,54701,900 W Clairemont Ave Eau Claire WI 54701,1,OK
ALLIANCE COMMUNITY HOSPITAL,200 EAST STATE STREET,ALLIANCE,OH,44601,170229,200 EAST STATE STREET ALLIANCE OH 44601,None,None,"200 E State St, Alliance, OH 44601, USA",40.902548,-81.1026567,ROOFTOP,ChIJX8Sz-PO0NogROOpkuIvaoR8,street_address,44601,200 EAST STATE STREET ALLIANCE OH 44601,1,OK
PROVIDENCE HOSPITAL,6801 AIRPORT BLVD,MOBILE,AL,36608,6586.12,6801 AIRPORT BLVD MOBILE AL 36608,None,None,"Providence Hospital, 6801 Airport Blvd, Mobile, AL 36608, USA",30.6789138,-88.1987853,ROOFTOP,ChIJR6xMCY2ym4gRPD5fRQrJgTM,premise,36608,6801 AIRPORT BLVD MOBILE AL 36608,1,OK
METROHEALTH MEDICAL CENTER,2500 METROHEALTH DRIVE,CLEVELAND,OH,44109,308650.09,2500 METROHEALTH DRIVE CLEVELAND OH 44109,None,None,"2500 Metrohealth Dr, Cleveland, OH 44109, USA",41.4622606,-81.69766899999999,ROOFTOP,ChIJM7MZGQLwMIgRZiVXop3kBxg,street_address,44109,2500 METROHEALTH DRIVE CLEVELAND OH 44109,1,OK
UNIVERSITY OF CHICAGO HOSPITALS,5841 S. MARYLAND AVE,Chicago,IL,60637,194412.72,5841 S. MARYLAND AVE Chicago IL 60637,None,None,"5841 S Maryland Ave, Chicago, IL 60637, USA",41.7883128,-87.6045656,ROOFTOP,ChIJSb3R6jspDogRf7jwEG_3Sac,street_address,60637,5841 S. MARYLAND AVE Chicago IL 60637,1,OK
UNIVERSITY HOSPITAL OF BROOKLYN,450 Clarkson Ave,Brooklyn,NY,11203,45806.92,450 Clarkson Ave Brooklyn NY 11203,None,None,"450 Clarkson Ave, Brooklyn, NY 11203, USA",40.6551054,-73.9441543,ROOFTOP,ChIJUQuHg2ZbwokRnPWqs2WHW0s,street_address,11203,450 Clarkson Ave Brooklyn NY 11203,1,OK
CHRISTIANA CARE HEALTH SYSTEM,501 W 14TH STREET,WILMINGTON,DE,19899,227112.53,501 W 14TH STREET WILMINGTON DE 19899,None,None,None,None,None,None,None,None,None,501 W 14TH STREET WILMINGTON DE 19899,0,REQUEST_DENIED
ST. ALPHONSUS REGIONAL MED CENTER,1055 N Curtis Rd,Boise,ID,83706,38226.93,1055 N Curtis Rd Boise ID 83706,None,None,"1055 N Curtis Rd, Boise, ID 83706, USA",43.6132915,-116.2558421,ROOFTOP,ChIJX--mVx5WrlQR3qKRrRTCrCE,premise,83706,1055 N Curtis Rd Boise ID 83706,1,OK
ST. JOSEPH HEALTH CENTER,667 Eastland Avenue SE,Warren,OH,44484,4372.41,667 Eastland Avenue SE Warren OH 44484,None,None,None,None,None,None,None,None,None,667 Eastland Avenue SE Warren OH 44484,0,REQUEST_DENIED
TULANE UNIVERSITY HOSPITAL & CLINICS,1415 Tulane Ave,New Orleans,LA,70112,32534.87,1415 Tulane Ave New Orleans LA 70112,None,None,"1415 Tulane Ave, New Orleans, LA 70112, USA",29.9557828,-90.0762827,ROOFTOP,ChIJI83ekuGlIIYRgLPecgbk7pM,premise,70112,1415 Tulane Ave New Orleans LA 70112,1,OK
MEADOWLANDS HOSPITAL MEDICAL CENTER,55 Meadowlands Pkwy,Secaucus,NJ,7094,50025.71,55 Meadowlands Pkwy Secaucus NJ 7094,None,None,"55 Meadowlands Pkwy, Secaucus, NJ 07094, USA",40.7917444,-74.0734305,ROOFTOP,ChIJtwl4hstXwokRM_xdxPPlnsE,premise,07094,55 Meadowlands Pkwy Secaucus NJ 7094,1,OK
THE CHILDRENS HOSPITAL OF ALABAMA,1600 7TH AVENUE SOUTH,BIRMINGHAM,AL,35233,90621.9,1600 7TH AVENUE SOUTH BIRMINGHAM AL 35233,None,None,"1600 7th Ave S, Birmingham, AL 35233, USA",33.5053682,-86.8058712,ROOFTOP,ChIJz6v06usbiYgRKB_3LBReuWg,premise,35233,1600 7TH AVENUE SOUTH BIRMINGHAM AL 35233,1,OK
WHITE MEMORIAL MEDICAL CENTER,1720 E Cesar E Chavez Ave,Los Angeles,CA,90033,31740.77,1720 E Cesar E Chavez Ave Los Angeles CA 90033,None,None,"1720 East Cesar E Chavez Avenue, Los Angeles, CA 90033, USA",34.0492967,-118.2171632,ROOFTOP,ChIJ49mC-w3GwoARDd70Gw4tZ4Y,premise,90033,1720 E Cesar E Chavez Ave Los Angeles CA 90033,1,OK
THE GOOD SAMARITAN HOSPITAL,Fourth and Walnut Streets,Lebanon,PA,17042,9313.88,Fourth and Walnut Streets Lebanon PA 17042,None,None,"252 S. 4th St 4th and, Walnut St, Lebanon, PA 17042, USA",40.3361641,-76.416206,GEOMETRIC_CENTER,ChIJHZkqheYCxokRx1bM6sfPfWQ,"establishment,health,hospital,point_of_interest",17042,Fourth and Walnut Streets Lebanon PA 17042,1,OK
GREATER BALTIMORE MEDICAL CENTER,6701 N Charles St,Baltimore,MD,21204,38361.19,6701 N Charles St Baltimore MD 21204,None,None,None,None,None,None,None,None,None,6701 N Charles St Baltimore MD 21204,0,REQUEST_DENIED
SWEDISH MEDICAL CENTER,501 E Hampden Ave,Englewood,CO,80113,37262.51,501 E Hampden Ave Englewood CO 80113,None,None,"501 E Hampden Ave, Englewood, CO 80113, USA",39.6538595,-104.9805914,ROOFTOP,ChIJyd6eR4GAbIcRFjqnNOA_3sE,street_address,80113,501 E Hampden Ave Englewood CO 80113,1,OK
ST. JOSEPHS HOSPITAL HEALTH CENTER,301 PROSPECT AVENUE,SYRACUSE,NY,13203,36587.02,301 PROSPECT AVENUE SYRACUSE NY 13203,None,None,"301 Prospect Ave, Syracuse, NY 13203, USA",43.0559585,-76.1495044,ROOFTOP,ChIJ882Xtrbz2YkRwhwgnFrd6NI,street_address,13203,301 PROSPECT AVENUE SYRACUSE NY 13203,1,OK
